deprivation,covid,logspend,spend
56.078,0,2.0457771743645043,7.74
56.078,0,2.4286431533047064,11.34
56.078,0,2.178572077344787,8.83
56.078,0,2.113454071437062,8.28
56.078,0,2.167761162783681,8.74
56.078,0,2.322820612617817,10.2
56.078,0,2.7332690232584995,15.38
56.078,0,2.507650034593344,12.28
56.078,0,2.139712490216092,8.5
56.078,0,1.9878010335634513,7.3
56.078,0,2.170268906800115,8.76
56.078,0,2.1399194852051378,8.5
56.078,0,2.296956420923213,9.94
56.078,0,1.8492262772018648,6.35
56.078,0,2.2848521986006083,9.82
56.078,0,2.4347140760372556,11.41
56.078,0,1.8103680848305546,6.11
56.078,0,1.9767411037249767,7.22
56.078,0,2.3767194729509273,10.77
56.078,0,2.1231834863777967,8.36
56.078,0,2.0837546618662923,8.03
56.078,0,2.0592977354751514,7.84
56.078,0,2.144421293274548,8.54
56.078,0,2.365024758552105,10.64
56.078,0,2.6233282815917436,13.78
56.078,0,2.209020269160819,9.11
56.078,0,2.338985217980383,10.37
56.078,0,2.0800845881776984,8.01
56.078,0,2.02711514639694,7.59
56.078,0,2.182694386330999,8.87
56.078,0,2.30091339568779,9.98
56.078,0,2.3547287070983356,10.54
56.078,0,2.3306642499547072,10.28
56.078,0,2.2465257030553896,9.45
56.078,0,2.0933922961972473,8.11
56.078,0,2.2404732885341803,9.4
56.078,0,2.4527827699408027,11.62
56.078,0,1.9853305857620493,7.28
56.078,0,1.8342643799720415,6.26
56.078,0,2.1201648652050613,8.33
56.078,0,2.2888211897992843,9.86
56.078,0,2.40165764870978,11.04
56.078,0,2.2878530065438056,9.85
56.078,0,2.377338359994907,10.78
56.078,0,2.162740166456909,8.69
56.078,0,2.295331686552457,9.93
56.078,0,2.284231064205775,9.82
56.078,0,1.8247310923993738,6.2
56.078,0,2.3557727355852904,10.55
56.078,0,2.1014885470007356,8.18
56.078,0,1.9617847786572788,7.11
56.078,0,2.262107159577381,9.6
56.078,0,2.14561846753998,8.55
56.078,0,2.422401640841817,11.27
56.078,0,2.4193113352244717,11.24
56.078,0,2.3393506241081954,10.37
56.078,0,2.1775869212201195,8.82
56.078,0,2.6183772699241787,13.71
56.078,0,2.416138749745592,11.2
56.078,0,2.097526356692338,8.15
56.078,0,2.263809890291558,9.62
56.078,0,2.0075705500854166,7.45
56.078,0,2.662214266456398,14.33
56.078,0,2.444518180326483,11.52
56.078,0,2.3745561642394186,10.75
56.078,0,2.2698091479581506,9.68
56.078,0,2.3707141092285586,10.71
56.078,0,2.198645857750912,9.01
56.078,0,1.9730507935139987,7.19
56.078,0,2.506720185473145,12.26
56.078,0,2.330882783919518,10.29
56.078,0,2.1316237254986317,8.43
56.078,0,2.4926170707970976,12.09
56.078,0,1.882200571024046,6.57
56.078,0,2.196426271134753,8.99
56.078,0,2.4249604124619175,11.3
56.078,0,2.0751054224752288,7.97
56.078,0,2.634669572300847,13.94
56.078,0,2.3125863187227527,10.1
56.078,0,2.5758036795685753,13.14
56.078,0,2.407602623390886,11.11
56.078,0,2.124258709252469,8.37
56.078,0,2.2079462693047622,9.1
56.078,0,2.0714810541272235,7.94
56.078,0,2.204263073431779,9.06
56.078,0,2.0027781106556914,7.41
56.078,0,2.5745646537694102,13.13
56.078,0,2.269481202252049,9.67
56.078,0,2.2538350277118533,9.52
56.078,0,1.9520622481600927,7.04
56.078,0,2.4380561266891263,11.45
56.078,0,2.166823517424251,8.73
56.078,0,2.3432327490649087,10.41
56.078,0,2.0769313393374387,7.98
56.078,0,1.8268063478606367,6.21
56.078,0,2.240616621221739,9.4
56.078,0,2.235944446654467,9.36
56.078,0,2.274165346368859,9.72
56.078,0,1.9885730497116847,7.31
56.078,0,2.2275496176665173,9.28
24.571,0,2.395188213025375,10.97
24.571,0,3.0258750848617377,20.61
24.571,0,2.402312355327985,11.05
24.571,0,2.467378285457768,11.79
24.571,0,2.763260311491452,15.85
24.571,0,2.561371416935789,12.95
24.571,0,2.4866331115869023,12.02
24.571,0,2.647245431431168,14.12
24.571,0,3.012945654867264,20.35
24.571,0,2.415290889412892,11.19
24.571,0,2.6100266395841145,13.6
24.571,0,2.580334976434138,13.2
24.571,0,2.9393365566282554,18.9
24.571,0,3.0065969325254094,20.22
24.571,0,2.572101888770912,13.09
24.571,0,2.988205457700489,19.85
24.571,0,2.619457617612822,13.73
24.571,0,2.5438118711707185,12.73
24.571,0,2.515570971926881,12.37
24.571,0,2.877957626892406,17.78
24.571,0,2.794705905781547,16.36
24.571,0,2.358129384016011,10.57
24.571,0,2.627556811550914,13.84
24.571,0,2.5927871143881958,13.37
24.571,0,2.551840581255342,12.83
24.571,0,2.3764273733966403,10.77
24.571,0,2.678410571040371,14.56
24.571,0,2.563216566291599,12.98
24.571,0,2.7343807850044084,15.4
24.571,0,2.9022141894032454,18.21
24.571,0,2.443704649226201,11.52
24.571,0,2.752749969269542,15.69
24.571,0,2.860934953131229,17.48
24.571,0,2.878037492087855,17.78
24.571,0,2.925488349044619,18.64
24.571,0,2.3974967157470353,11
24.571,0,2.125078627876406,8.37
24.571,0,2.550354595139975,12.81
24.571,0,2.5518749080882155,12.83
